medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Kim Ha-yun,bronze,South Korea,2000-01-07,Busan,South Korea,judo at the 2024 Summer Olympics – women's +78 kg
Romane Dicko,bronze,France,1999-09-30,Clamart,canton of Le Plessis-Robinson,judo at the 2024 Summer Olympics – women's +78 kg
Shirine Boukli,gold,France,1999-01-24,Aramon,canton of Aramon,judo at the 2024 Summer Olympics – mixed team event
Joan-Benjamin Gaba,gold,France,2001-01-07,Sèvres,Hauts-de-Seine,judo at the 2024 Summer Olympics – mixed team event
Amandine Buchard,gold,France,1995-07-12,Noisy-le-Sec,Seine,judo at the 2024 Summer Olympics – mixed team event
Walide Khyar,gold,France,1995-06-09,Bondy,arrondissement of Bobigny,judo at the 2024 Summer Olympics – mixed team event
Sarah-Léonie Cysique,gold,France,1998-07-06,Sarcelles,Seine-et-Oise,judo at the 2024 Summer Olympics – mixed team event
Luka Mkheidze,gold,France,1996-01-05,Tbilisi,Georgia,judo at the 2024 Summer Olympics – mixed team event
Clarisse Agbegnenou,gold,France,1992-10-25,Rennes,arrondissement of Rennes,judo at the 2024 Summer Olympics – mixed team event
Alpha Oumar Djalo,gold,France,1996-09-05,Paris,Grand Paris,judo at the 2024 Summer Olympics – mixed team event
Marie-Ève Gahié,gold,France,1996-11-27,Paris,Grand Paris,judo at the 2024 Summer Olympics – mixed team event
Maxime-Gaël Ngayap Hambou,gold,France,2001-06-22,Clichy,canton of Levallois-Perret-Nord,judo at the 2024 Summer Olympics – mixed team event
Romane Dicko,gold,France,1999-09-30,Clamart,canton of Le Plessis-Robinson,judo at the 2024 Summer Olympics – mixed team event
Aurélien Diesse,gold,France,1997-10-16,Bondy,arrondissement of Bobigny,judo at the 2024 Summer Olympics – mixed team event
Madeleine Malonga,gold,France,1993-12-25,Soisy-sous-Montmorency,Seine-et-Oise,judo at the 2024 Summer Olympics – mixed team event
Teddy Riner,gold,France,1989-04-07,Les Abymes,arrondissement of Pointe-à-Pitre,judo at the 2024 Summer Olympics – mixed team event
Abe Uta,silver,Japan,2000-07-14,Kobe,Hyogo Prefecture,judo at the 2024 Summer Olympics – mixed team event
Hifumi Abe,silver,Japan,1997-08-09,Kobe,Hyogo Prefecture,judo at the 2024 Summer Olympics – mixed team event
Haruka Funakubo,silver,Japan,1998-10-10,Fujiyoshida,Yamanashi Prefecture,judo at the 2024 Summer Olympics – mixed team event
Soichi Hashimoto,silver,Japan,1999-08-23,Shizuoka Prefecture,Japan,judo at the 2024 Summer Olympics – mixed team event
Natsumi Tsunoda,silver,Japan,1992-08-06,Yachiyo,Chiba Prefecture,judo at the 2024 Summer Olympics – mixed team event
Ryuju Nagayama,silver,Japan,1996-04-15,Bibai,Hokkaido,judo at the 2024 Summer Olympics – mixed team event
Saki Niizoe,silver,Japan,1996-07-04,NA,NA,judo at the 2024 Summer Olympics – mixed team event
Sanshiro Murao,silver,Japan,2000-08-28,United States of America,NA,judo at the 2024 Summer Olympics – mixed team event
Miku Takaichi,silver,Japan,1994-04-07,Hachioji,Tokyo,judo at the 2024 Summer Olympics – mixed team event
Takanori Nagase,silver,Japan,1993-10-14,Nagasaki,Nagasaki Prefecture,judo at the 2024 Summer Olympics – mixed team event
Aaron Wolf,silver,Japan,1996-02-25,Tokyo,Tokyo,judo at the 2024 Summer Olympics – mixed team event
Rika Takayama,silver,Japan,1994-08-27,NA,NA,judo at the 2024 Summer Olympics – mixed team event
Akira Sone,silver,Japan,2000-07-09,Kurume,Fukuoka Prefecture,judo at the 2024 Summer Olympics – mixed team event
Tatsuru Saito,silver,Japan,2002-03-08,Osaka,Osaka Prefecture,judo at the 2024 Summer Olympics – mixed team event
Daniel Cargnin,bronze,Brazil,1997-12-20,Porto Alegre,Rio Grande do Sul,judo at the 2024 Summer Olympics – mixed team event
Leonardo Gonçalves,bronze,Brazil,1996-03-01,Iguape,São Paulo,judo at the 2024 Summer Olympics – mixed team event
Willian Lima,bronze,Brazil,2000-01-31,Mogi das Cruzes,São Paulo,judo at the 2024 Summer Olympics – mixed team event
Rafael Macedo,bronze,Brazil,1994-09-15,São José dos Campos,São Paulo,judo at the 2024 Summer Olympics – mixed team event
Guilherme Schimidt,bronze,Brazil,2000-11-06,Brasília,Federal District,judo at the 2024 Summer Olympics – mixed team event
Rafael Silva,bronze,Brazil,1987-05-11,Aquidauana,Mato Grosso do Sul,judo at the 2024 Summer Olympics – mixed team event
Larissa Pimenta,bronze,Brazil,1999-03-01,São Vicente,São Paulo,judo at the 2024 Summer Olympics – mixed team event
Ketleyn Quadros,bronze,Brazil,1987-10-01,Ceilândia,Federal District,judo at the 2024 Summer Olympics – mixed team event
Rafaela Silva,bronze,Brazil,1992-04-24,Rio de Janeiro,Rio de Janeiro,judo at the 2024 Summer Olympics – mixed team event
Beatriz Souza,bronze,Brazil,1998-05-20,Itariri,São Paulo,judo at the 2024 Summer Olympics – mixed team event
Lee Hye-kyeong,bronze,South Korea,1996-01-12,NA,NA,judo at the 2024 Summer Olympics – mixed team event
Kim Won-jin,bronze,South Korea,1992-05-01,South Korea,NA,judo at the 2024 Summer Olympics – mixed team event
Jung Ye-rin,bronze,South Korea,1996-07-15,NA,NA,judo at the 2024 Summer Olympics – mixed team event
An Ba-ul,bronze,South Korea,1994-03-25,Seoul,South Korea,judo at the 2024 Summer Olympics – mixed team event
Huh Mimi,bronze,South Korea,2002-12-19,Edogawa-ku,Tokyo,judo at the 2024 Summer Olympics – mixed team event
Kim Ji-su,bronze,South Korea,2000-12-12,Himeji,Hyogo Prefecture,judo at the 2024 Summer Olympics – mixed team event
Lee Joon-hwan,bronze,South Korea,2002-06-19,Gumi,North Gyeongsang,judo at the 2024 Summer Olympics – mixed team event
Han Ju-Yeop,bronze,South Korea,1999-04-21,Cheorwon County,Gangwon Province,judo at the 2024 Summer Olympics – mixed team event
Yoon Hyun-ji,bronze,South Korea,1994-02-14,NA,NA,judo at the 2024 Summer Olympics – mixed team event
Kim Ha-yun,bronze,South Korea,2000-01-07,Busan,South Korea,judo at the 2024 Summer Olympics – mixed team event
Kim Min-jong,bronze,South Korea,2000-09-01,Seoul,South Korea,judo at the 2024 Summer Olympics – mixed team event
Ahmed El-Gendy,gold,Egypt,2000-03-01,Cairo,Cairo Governorate,modern pentathlon at the 2024 Summer Olympics – men's
Michelle Gulyás,gold,Hungary,2000-10-24,London,Greater London,modern pentathlon at the 2024 Summer Olympics – women's
Élodie Clouvel,silver,France,1989-01-14,Saint-Priest-en-Jarez,canton of Saint-Étienne-Nord-Est-2,modern pentathlon at the 2024 Summer Olympics – women's
Seong Seung-min,bronze,South Korea,2003-05-13,Daegu,South Korea,modern pentathlon at the 2024 Summer Olympics – women's
Oliver Zeidler,gold,Germany,1996-07-24,Dachau,Dachau,rowing at the 2024 Summer Olympics – men's single sculls
Yauheni Zalaty,silver,NA,1999-09-09,Krasnapollie,Krasnapollie District,rowing at the 2024 Summer Olympics – men's single sculls
Simon van Dorp,bronze,Netherlands,1997-04-10,Amsterdam,Amsterdam,rowing at the 2024 Summer Olympics – men's single sculls
Andrei-Sebastian Cornea,gold,Romania,1999-11-10,Vatra Dornei,Suceava County,rowing at the 2024 Summer Olympics – men's double sculls
Marian Enache,gold,Romania,1995-08-05,Târgu Cărbunești,Gorj County,rowing at the 2024 Summer Olympics – men's double sculls
Melvin Twellaar,silver,Netherlands,1996-12-23,Den Horn,Westerkwartier,rowing at the 2024 Summer Olympics – men's double sculls
Stef Broenink,silver,Netherlands,1990-09-19,Gouda,Gouda,rowing at the 2024 Summer Olympics – men's double sculls
Daire Lynch,bronze,Republic of Ireland,1998-06-19,Clonmel,County Tipperary,rowing at the 2024 Summer Olympics – men's double sculls
Philip Doyle,bronze,Republic of Ireland,1992-09-17,Lisburn,Lisburn and Castlereagh,rowing at the 2024 Summer Olympics – men's double sculls
Lennart van Lierop,gold,Netherlands,1994-05-20,The Hague,South Holland,rowing at the 2024 Summer Olympics – men's quadruple sculls
Finn Florijn,gold,Netherlands,1999-11-29,Leiden,South Holland,rowing at the 2024 Summer Olympics – men's quadruple sculls
Tone Wieten,gold,Netherlands,1994-03-17,Amsterdam,Amsterdam,rowing at the 2024 Summer Olympics – men's quadruple sculls
Koen Metsemakers,gold,Netherlands,1992-04-30,Hasselt,Zwartewaterland,rowing at the 2024 Summer Olympics – men's quadruple sculls
Luca Chiumento,silver,Italy,1997-11-19,Padua,Province of Padua,rowing at the 2024 Summer Olympics – men's quadruple sculls
Luca Rambaldi,silver,Italy,1994-12-09,Ferrara,Province of Ferrara,rowing at the 2024 Summer Olympics – men's quadruple sculls
Giacomo Gentili,silver,Italy,1997-07-03,Cremona,Province of Cremona,rowing at the 2024 Summer Olympics – men's quadruple sculls
Andrea Panizza,silver,Italy,1998-07-14,Lecco,Province of Lecco,rowing at the 2024 Summer Olympics – men's quadruple sculls
Fabian Barański,bronze,Poland,1999-05-27,Włocławek,Kuyavian-Pomeranian Voivodeship,rowing at the 2024 Summer Olympics – men's quadruple sculls
Mateusz Biskup,bronze,Poland,1994-02-08,Gdańsk,Pomeranian Voivodeship,rowing at the 2024 Summer Olympics – men's quadruple sculls
Dominik Czaja,bronze,Poland,1995-08-12,Kraków,Lesser Poland Voivodeship,rowing at the 2024 Summer Olympics – men's quadruple sculls
Martin Sinković,gold,Croatia,1989-11-10,Zagreb,Croatia,rowing at the 2024 Summer Olympics – men's pair
Valent Sinković,gold,Croatia,1988-08-02,Zagreb,Croatia,rowing at the 2024 Summer Olympics – men's pair
Oliver Wynne-Griffith,silver,United Kingdom,1994-05-29,Guildford,Guildford,rowing at the 2024 Summer Olympics – men's pair
Thomas George,silver,United Kingdom,1994-09-22,Cheltenham,Cheltenham,rowing at the 2024 Summer Olympics – men's pair
Roman Röösli,bronze,Switzerland,1993-09-22,Neuenkirch,Sursee Constituency,rowing at the 2024 Summer Olympics – men's pair
Andrin Gulich,bronze,Switzerland,1999-03-09,United States of America,NA,rowing at the 2024 Summer Olympics – men's pair
Nicholas Mead,gold,United States of America,1995-03-12,Strafford,Pennsylvania,rowing at the 2024 Summer Olympics – men's four
Justin Best,gold,United States of America,1997-08-17,Kennett Square,Chester County,rowing at the 2024 Summer Olympics – men's four
Michael Grady,gold,United States of America,1996-10-22,Pittsburgh,Allegheny County,rowing at the 2024 Summer Olympics – men's four
Liam Corrigan,gold,United States of America,1997-09-11,Old Lyme,Lower Connecticut River Valley Planning Region,rowing at the 2024 Summer Olympics – men's four
Logan Ullrich,silver,New Zealand,2000-08-20,NA,NA,rowing at the 2024 Summer Olympics – men's four
Tom Murray,silver,New Zealand,1994-04-05,Blenheim,Marlborough District,rowing at the 2024 Summer Olympics – men's four
Matt Macdonald,silver,New Zealand,1999-03-15,Auckland,Auckland Region,rowing at the 2024 Summer Olympics – men's four
Oliver Wilkes,bronze,United Kingdom,1995-07-14,Beverley,East Riding of Yorkshire,rowing at the 2024 Summer Olympics – men's four
David Ambler,bronze,United Kingdom,1997-12-04,London,Greater London,rowing at the 2024 Summer Olympics – men's four
Matthew Aldridge,bronze,United Kingdom,1996-03-11,Poole,"Bournemouth, Christchurch and Poole",rowing at the 2024 Summer Olympics – men's four
Freddie Davidson,bronze,United Kingdom,1998-05-26,NA,NA,rowing at the 2024 Summer Olympics – men's four
Morgan Bolding,gold,United Kingdom,1995-05-13,Withiel,Cornwall,rowing at the 2024 Summer Olympics – men's eight
Sholto Carnegie,gold,United Kingdom,1995-02-28,London,Greater London,rowing at the 2024 Summer Olympics – men's eight
Rory Gibbs,gold,United Kingdom,1994-04-03,Nicosia,Nicosia District,rowing at the 2024 Summer Olympics – men's eight
Thomas Ford,gold,United Kingdom,1992-10-03,Holmes Chapel,Cheshire East,rowing at the 2024 Summer Olympics – men's eight
Jacob Dawson,gold,United Kingdom,1993-11-02,Gosport,Gosport,rowing at the 2024 Summer Olympics – men's eight
Charles Elwes,gold,United Kingdom,1997-07-15,Randburg,City of Johannesburg Metropolitan Municipality,rowing at the 2024 Summer Olympics – men's eight
Thomas Digby,gold,United Kingdom,1998-07-23,NA,NA,rowing at the 2024 Summer Olympics – men's eight
James Rudkin,gold,United Kingdom,1994-07-07,Northampton,West Northamptonshire,rowing at the 2024 Summer Olympics – men's eight
Harry Brightmore,gold,United Kingdom,1994-07-01,Chester,Cheshire West and Chester,rowing at the 2024 Summer Olympics – men's eight
Sander de Graaf,silver,Netherlands,1995-06-13,Made,Drimmelen,rowing at the 2024 Summer Olympics – men's eight
Ruben Knab,silver,Netherlands,1988-02-19,Ede,Ede,rowing at the 2024 Summer Olympics – men's eight
Gert-Jan van Doorn,silver,Netherlands,1999-02-03,Leiderdorp,South Holland,rowing at the 2024 Summer Olympics – men's eight
Jan van der Bij,silver,Netherlands,1991-09-25,Drachten,Smallingerland,rowing at the 2024 Summer Olympics – men's eight
Mick Makker,silver,Netherlands,1993-02-05,Blaricum,North Holland,rowing at the 2024 Summer Olympics – men's eight
Dieuwke Fetter,silver,Netherlands,1991-01-26,Amsterdam,Amsterdam,rowing at the 2024 Summer Olympics – men's eight
Nicholas Rusher,bronze,United States of America,1999-06-10,Glenview,Cook County,rowing at the 2024 Summer Olympics – men's eight
Clark Dean,bronze,United States of America,2000-02-03,Sarasota,Sarasota County,rowing at the 2024 Summer Olympics – men's eight
Rielly Milne,bronze,United States of America,1996-01-01,Woodinville,King County,rowing at the 2024 Summer Olympics – men's eight
Fintan McCarthy,gold,Republic of Ireland,1996-11-23,Skibbereen,County Cork,rowing at the 2024 Summer Olympics – men's lightweight double sculls
Paul O'Donovan,gold,Republic of Ireland,1994-04-19,Lisheen,Kealkill,rowing at the 2024 Summer Olympics – men's lightweight double sculls
Stefano Oppo,silver,Italy,1994-09-12,Oristano,Province of Oristano,rowing at the 2024 Summer Olympics – men's lightweight double sculls
Gabriel Soares,silver,Italy,1997-01-22,Brazil,NA,rowing at the 2024 Summer Olympics – men's lightweight double sculls
Petros Gkaidatzis,bronze,Greece,2000-11-25,Thessaloniki,Thessaloniki Municipality,rowing at the 2024 Summer Olympics – men's lightweight double sculls
Antonios Papakonstantinou,bronze,Greece,1999-03-18,NA,NA,rowing at the 2024 Summer Olympics – men's lightweight double sculls
Karolien Florijn,gold,Netherlands,1998-04-06,Leiden,South Holland,rowing at the 2024 Summer Olympics – women's single sculls
Emma Twigg,silver,New Zealand,1987-03-01,Napier,Napier City,rowing at the 2024 Summer Olympics – women's single sculls
Viktorija Senkutė,bronze,Lithuania,1996-04-12,Trakai,Trakai District Municipality,rowing at the 2024 Summer Olympics – women's single sculls
Brooke Donoghue,gold,New Zealand,1995-01-06,Hamilton,Hamilton City,rowing at the 2024 Summer Olympics – women's double sculls
Lucy Spoors,gold,New Zealand,1990-12-24,Christchurch,Christchurch City,rowing at the 2024 Summer Olympics – women's double sculls
Ancuța Bodnar,silver,Romania,1998-09-25,Vatra Moldoviței,Suceava County,rowing at the 2024 Summer Olympics – women's double sculls
Simona Radiș,silver,Romania,1999-04-05,Botoșani,Botoșani County,rowing at the 2024 Summer Olympics – women's double sculls
Mathilda Hodgkins-Byrne,bronze,United Kingdom,1994-10-01,Westminster,City of Westminster,rowing at the 2024 Summer Olympics – women's double sculls
Becky Wilde,bronze,United Kingdom,1997-12-31,Taunton,Somerset West and Taunton,rowing at the 2024 Summer Olympics – women's double sculls
Lauren Henry,gold,United Kingdom,2001-12-21,Coventry,Coventry,rowing at the 2024 Summer Olympics – women's quadruple sculls
Hannah Scott,gold,United Kingdom,1999-06-18,Coleraine,Causeway Coast and Glens,rowing at the 2024 Summer Olympics – women's quadruple sculls
Lola Anderson,gold,United Kingdom,1998-04-16,NA,NA,rowing at the 2024 Summer Olympics – women's quadruple sculls
Georgina Brayshaw,gold,United Kingdom,1993-10-14,Leeds,Leeds,rowing at the 2024 Summer Olympics – women's quadruple sculls
Laila Youssifou,silver,Netherlands,1996-01-02,Amsterdam,Amsterdam,rowing at the 2024 Summer Olympics – women's quadruple sculls
Bente Paulis,silver,Netherlands,1997-02-14,Leiderdorp,South Holland,rowing at the 2024 Summer Olympics – women's quadruple sculls
Roos de Jong,silver,Netherlands,1993-08-23,Haarlem,North Holland,rowing at the 2024 Summer Olympics – women's quadruple sculls
Tessa Dullemans,silver,Netherlands,1997-07-02,Rotterdam,Rotterdam,rowing at the 2024 Summer Olympics – women's quadruple sculls
Leonie Menzel,bronze,Germany,1999-05-19,Mettmann,Mettmann,rowing at the 2024 Summer Olympics – women's quadruple sculls
Ymkje Clevering,gold,Netherlands,1995-07-17,Haulerwijk,Ooststellingwerf,rowing at the 2024 Summer Olympics – women's pair
Veronique Meester,gold,Netherlands,1995-04-07,Amsterdam,Amsterdam,rowing at the 2024 Summer Olympics – women's pair
Ioana Vrinceanu,silver,Romania,1994-03-07,Târgu Mureș,Mureș County,rowing at the 2024 Summer Olympics – women's pair
Roxana-Iuliana Anghel,silver,Romania,1998-01-01,Câmpulung Moldovenesc,Suceava County,rowing at the 2024 Summer Olympics – women's pair
Jessica Morrison,bronze,Australia,1992-05-18,Fitzroy,City of Yarra,rowing at the 2024 Summer Olympics – women's pair
Annabelle McIntyre,bronze,Australia,1996-09-12,Western Australia,Australia,rowing at the 2024 Summer Olympics – women's pair
Marloes Oldenburg,gold,Netherlands,1988-03-09,The Hague,South Holland,rowing at the 2024 Summer Olympics – women's four
Hermijntje Drenth,gold,Netherlands,1994-07-19,Arnhem,Gelderland,rowing at the 2024 Summer Olympics – women's four
Tinka Offereins,gold,Netherlands,1993-10-05,Amstelveen,North Holland,rowing at the 2024 Summer Olympics – women's four
Benthe Boonstra,gold,Netherlands,2000-11-20,Bemmel,Lingewaard,rowing at the 2024 Summer Olympics – women's four
Helen Glover,silver,United Kingdom,1986-06-17,Truro,Cornwall,rowing at the 2024 Summer Olympics – women's four
Esme Booth,silver,United Kingdom,1998-12-23,Stratford-upon-Avon,Stratford-on-Avon,rowing at the 2024 Summer Olympics – women's four
Samantha Redgrave,silver,United Kingdom,1994-08-18,Newcastle upon Tyne,Newcastle upon Tyne,rowing at the 2024 Summer Olympics – women's four
Rebecca Shorten,silver,United Kingdom,1993-11-25,Belfast,Belfast,rowing at the 2024 Summer Olympics – women's four
Jackie Gowler,bronze,New Zealand,1996-06-07,Raetihi,Manawatū-Whanganui Region,rowing at the 2024 Summer Olympics – women's four
Phoebe Spoors,bronze,New Zealand,1993-08-11,Christchurch,Christchurch City,rowing at the 2024 Summer Olympics – women's four
Davina Waddy,bronze,New Zealand,1996-08-16,Christchurch,Christchurch City,rowing at the 2024 Summer Olympics – women's four
Kerri Gowler,bronze,New Zealand,1993-12-18,Whanganui,Whanganui District,rowing at the 2024 Summer Olympics – women's four
Adriana Ailincăi,gold,Romania,1999-04-11,Văleni,Vaslui County,rowing at the 2024 Summer Olympics – women's eight
Roxana-Iuliana Anghel,gold,Romania,1998-01-01,Câmpulung Moldovenesc,Suceava County,rowing at the 2024 Summer Olympics – women's eight
Amalia Bereș,gold,Romania,1997-06-18,Pașcani,Iași County,rowing at the 2024 Summer Olympics – women's eight
Ancuța Bodnar,gold,Romania,1998-09-25,Vatra Moldoviței,Suceava County,rowing at the 2024 Summer Olympics – women's eight
Maria-Magdalena Rusu,gold,Romania,1999-09-30,Fălticeni,Suceava County,rowing at the 2024 Summer Olympics – women's eight
Maria Tivodariu,gold,Romania,1999-06-28,Câmpulung Moldovenesc,Suceava County,rowing at the 2024 Summer Olympics – women's eight
Ioana Vrinceanu,gold,Romania,1994-03-07,Târgu Mureș,Mureș County,rowing at the 2024 Summer Olympics – women's eight
Simona Radiș,gold,Romania,1999-04-05,Botoșani,Botoșani County,rowing at the 2024 Summer Olympics – women's eight
Victoria-Ștefania Petreanu,gold,Romania,2003-01-21,Constanța,Constanța County,rowing at the 2024 Summer Olympics – women's eight
Abigail Dent,silver,Canada,2002-03-04,Kenora,Kenora District,rowing at the 2024 Summer Olympics – women's eight
Caileigh Filmer,silver,Canada,1996-12-18,Victoria,Capital Regional District,rowing at the 2024 Summer Olympics – women's eight
Kasia Gruchalla-Wesierski,silver,Canada,1991-03-31,Montreal,Urban agglomeration of Montreal,rowing at the 2024 Summer Olympics – women's eight
Sydney Payne,silver,Canada,1997-09-16,Victoria,Capital Regional District,rowing at the 2024 Summer Olympics – women's eight
Jessica Sevick,silver,Canada,1989-07-15,Vancouver,Metro Vancouver Regional District,rowing at the 2024 Summer Olympics – women's eight
Kristina Walker,silver,Canada,1996-05-09,Coquitlam,Metro Vancouver Regional District,rowing at the 2024 Summer Olympics – women's eight
Avalon Wasteneys,silver,Canada,1997-08-31,North York,Toronto,rowing at the 2024 Summer Olympics – women's eight
Kristen Kit,silver,Canada,1988-08-18,St. Catharines,Regional Municipality of Niagara,rowing at the 2024 Summer Olympics – women's eight
Annie Campbell-Orde,bronze,United Kingdom,1995-10-05,Wells,Mendip,rowing at the 2024 Summer Olympics – women's eight
Holly Dunford,bronze,United Kingdom,1999-10-14,Epsom,Epsom and Ewell,rowing at the 2024 Summer Olympics – women's eight
Emily Ford,bronze,United Kingdom,1994-11-08,Holmes Chapel,Cheshire East,rowing at the 2024 Summer Olympics – women's eight
Lauren Irwin,bronze,United Kingdom,1998-08-20,Sunderland,Sunderland,rowing at the 2024 Summer Olympics – women's eight
Heidi Long,bronze,United Kingdom,1996-11-29,Hillingdon,London Borough of Hillingdon,rowing at the 2024 Summer Olympics – women's eight
Rowan McKellar,bronze,United Kingdom,1994-05-24,Glasgow,Glasgow City,rowing at the 2024 Summer Olympics – women's eight
Eve Stewart,bronze,United Kingdom,1998-01-13,Amstelveen,North Holland,rowing at the 2024 Summer Olympics – women's eight
Harriet Taylor,bronze,United Kingdom,1994-02-14,Sunningdale,Windsor and Maidenhead,rowing at the 2024 Summer Olympics – women's eight
Henry Fieldman,bronze,United Kingdom,1988-11-25,London,Greater London,rowing at the 2024 Summer Olympics – women's eight
Emily Craig,gold,United Kingdom,1992-11-30,Pembury,Tunbridge Wells,rowing at the 2024 Summer Olympics – women's lightweight double sculls
Imogen Grant,gold,United Kingdom,1996-02-26,Cambridge,Cambridge,rowing at the 2024 Summer Olympics – women's lightweight double sculls
Gianina Elena van Groningen,silver,Romania,1995-05-21,Gura Humorului,Gura Humorului,rowing at the 2024 Summer Olympics – women's lightweight double sculls
Ionela-Livia Cozmiuc,silver,Romania,1995-01-03,Câmpulung Moldovenesc,Suceava County,rowing at the 2024 Summer Olympics – women's lightweight double sculls
Dimitra Eleni Kontou,bronze,Greece,2005-09-23,Mytilene,Mytilene Municipality,rowing at the 2024 Summer Olympics – women's lightweight double sculls
Zoi Fitsiou,bronze,Greece,1995-09-14,Thessaloniki,Thessaloniki Municipality,rowing at the 2024 Summer Olympics – women's lightweight double sculls
Varian Pasquet,gold,France,1999-07-29,Paris,Grand Paris,rugby sevens at the 2024 Summer Olympics – men's tournament
Andy Timo,gold,France,2004-05-28,Massy,Essonne,rugby sevens at the 2024 Summer Olympics – men's tournament
Rayan Rebbadj,gold,France,1999-08-15,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,rugby sevens at the 2024 Summer Olympics – men's tournament
Théo Forner,gold,France,2001-10-17,Espira-de-l'Agly,Rosselló,rugby sevens at the 2024 Summer Olympics – men's tournament
Stephen Parez,gold,France,1994-08-01,France,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Paulin Riva,gold,France,1994-04-20,Auch,canton of Auch-Nord-Est,rugby sevens at the 2024 Summer Olympics – men's tournament
Jefferson-Lee Joseph,gold,France,2002-08-29,Baie-Mahault,Guadeloupe,rugby sevens at the 2024 Summer Olympics – men's tournament
Antoine Zeghdar,gold,France,1999-05-22,Monaco City,Commune of Monaco,rugby sevens at the 2024 Summer Olympics – men's tournament
Aaron Grandidier,gold,France,2000-05-18,London,Greater London,rugby sevens at the 2024 Summer Olympics – men's tournament
Jean-Pascal Barraque,gold,France,1991-04-24,Le Chesnay,Yvelines,rugby sevens at the 2024 Summer Olympics – men's tournament
Antoine Dupont,gold,France,1996-11-15,Lannemezan,canton of Lannemezan,rugby sevens at the 2024 Summer Olympics – men's tournament
Jordan Sepho,gold,France,1998-12-08,Pontoise,Val-d'Oise,rugby sevens at the 2024 Summer Olympics – men's tournament
Nelson Épée,gold,France,2001-02-20,Toulouse,Haute-Garonne,rugby sevens at the 2024 Summer Olympics – men's tournament
Joji Nasova,silver,Fiji,2000-01-01,Lautoka,Ba,rugby sevens at the 2024 Summer Olympics – men's tournament
Joseva Talacolo,silver,Fiji,1997-04-01,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Jerry Matana,silver,Fiji,1998-07-14,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Sevuloni Mocenacagi,silver,Fiji,1990-06-19,Sigatoka,Nadroga-Navosa,rugby sevens at the 2024 Summer Olympics – men's tournament
Iosefo Masi,silver,Fiji,1998-05-09,Fiji,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Ponepati Loganimasi,silver,Fiji,NA,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Terio Tamani,silver,Fiji,1994-07-06,Kadavu,Eastern Division,rugby sevens at the 2024 Summer Olympics – men's tournament
Waisea Nacuqu,silver,Fiji,1993-05-24,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Jerry Tuwai,silver,Fiji,1989-03-23,Fiji,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Iowane Teba,silver,Fiji,NA,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Kaminieli Rasaku,silver,Fiji,1999-07-12,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Selestino Ravutaumada,silver,Fiji,2000-01-17,Taveuni,Cakaudrove,rugby sevens at the 2024 Summer Olympics – men's tournament
Josaia Raisuqe,silver,Fiji,1994-07-22,Suva,Rewa,rugby sevens at the 2024 Summer Olympics – men's tournament
Filipe Sauturaga,silver,Fiji,1994-06-19,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Christie Grobbelaar,bronze,South Africa,2000-05-25,Durban,eThekwini Metropolitan Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Ryan Oosthuizen,bronze,South Africa,1995-05-22,Stellenbosch,Stellenbosch Local Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Impi Visser,bronze,South Africa,1995-05-30,Pongola,uPhongolo Local Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Zain Davids,bronze,South Africa,1997-05-04,Cape Town,City of Cape Town,rugby sevens at the 2024 Summer Olympics – men's tournament
Quewin Nortje,bronze,South Africa,NA,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Tiaan Pretorius,bronze,South Africa,2001-02-19,Pretoria,City of Tshwane Metropolitan Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Tristan Leyds,bronze,South Africa,1997-05-24,Somerset West,City of Cape Town,rugby sevens at the 2024 Summer Olympics – men's tournament
Selvyn Davids,bronze,South Africa,1994-03-26,Jeffreys Bay,Kouga Local Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Shaun Williams,bronze,South Africa,1998-04-13,Rustenburg,Rustenburg Local Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Rosko Specman,bronze,South Africa,1989-04-28,Makhanda,Makana Local Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Siviwe Soyizwapi,bronze,South Africa,1992-12-07,Mthatha,King Sabata Dalindyebo Local Municipality,rugby sevens at the 2024 Summer Olympics – men's tournament
Shilton van Wyk,bronze,South Africa,1999-12-22,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
Ronald Brown,bronze,South Africa,1995-09-02,NA,NA,rugby sevens at the 2024 Summer Olympics – men's tournament
